Name,Distcode,velocity,particle,volume,DISTIND,DISTIND2,AlphDiv,SpEveness,ShanDiv,SimpDiv,CyanDiv,CyanProp
AMARI_P,2,1,1,1,3,1,9,0.94,2.065,0.8639,4,0.444444444
AMARI_T,2,1,1,1,3,1,2,1,0.693,0.5,1,0.5
BLST2_P,1,3,3,3,9,3,16,0.954,2.644,0.9203,12,0.75
BLST2_T,1,3,3,3,9,3,9,0.941,2.068,0.8594,7,0.777777778
MICH1_T,4,2,2,1,5,2,35,0.976,3.47,0.967,31,0.885714286
MICH2_P,4,2,2,1,5,2,16,0.957,2.654,0.9228,8,0.5
REFUP_P,6,0,0,0,0,1,16,0.956,2.65,0.9231,10,0.625
REFLOW_T,6,0,0,0,0,1,19,0.975,2.872,0.9402,14,0.736842105
RYASBR_P,5,2,2,2,6,2,39,0.985,3.61,0.9718,32,0.820512821
RYASBR_T,5,2,2,2,6,2,43,0.978,3.677,0.9733,32,0.744186047
RYASLW_P,3,1,2,3,6,2,17,0.97,2.747,0.9327,12,0.705882353
RYASLW_T,3,1,2,3,6,2,25,0.972,3.13,0.9536,18,0.72
RYASUP_P,3,1,2,3,6,2,42,0.966,3.61,0.9707,28,0.666666667
RYASUP_T,3,1,2,3,6,2,37,0.972,3.508,0.9681,27,0.72972973
SCORCH_P,7,2,2,2,6,2,13,0.963,2.471,0.9089,8,0.615384615
STPHRA_T,8,1,1,1,3,1,20,0.975,2.92,0.9431,12,0.6
